Name,Type,Notes
VEHICLE STOPPING POSITION,Class,"The stopping position of a vehicle or one of its components as a Location.
NOTE1: May be specified as a ZONE corresponding to the bounding polygon of the vehicle, or one or more POINTs corresponding to parts of the vehicle such as a door.
NOTE2: If given as a single point, indicates the position for the door relative to an indicated side of the vehicle."
TYPE OF RELATION TO VEHICLE,Class,"A classification of the way a VEHICLE STOPPING POSITION is used (e.g., front left, front right, back left, back right, driver left, driver right)."
,Note,"Relative position of stopping position to vehicle, e.g., vehicle front left, vehicle front right, vehicle back left, vehicle back right, driver left, driver right, etc."
,Text,
TAXI PARKING AREA,Class,A specific area where any taxi is able to safely park for a long period.
TAXI STAND,Class,A set of spots where any taxi is able to safely stop for a short period of time to load passengers.
TAXI RANK,Class,"A STOP PLACE specifically for taxis, comprising one or more TAXI STANDs."
,Text,
,Text,
,Note,"For public transport vehicles operated using the CONVENTIONAL MODE OF OPERATION, assigns a POINT (usually a PARKING POINT) that may appear in the TIMING PATTERN of a VEHICLE JOURNEY to a PLACE such as a PARKING BAY that has VEHICLE CHARGING EQUIPMENT. The exact location of the EQUIPMENT within the bay can be given by an EQUIPMENT PLACE.
"
,Text,
RECHARGING POINT ASSIGNMENT,Class,"The allocation of a TIMING POINT to a SITE COMPONENT such as a PARKING BAY that has VEHICLE CHARGING EQUIPMENT.
"
,Note,"For other MODES OF OPERATION that do not need to integrate charging points into a plan, "
,Note,Whether there is VEHICLE CHARGING EQUIPMENT at a SITE COMPONENT such as a PARKING BAY is given simply by an EQUIPMENT PLACE that references it.
,Note,Whether there is VEHICLE CHARGING EQUIPMENT at a SITE COMPONENT such as a PARKING BAY is given simply by an EQUIPMENT PLACE that references it.
,Note,"For public transport vehicles operated using the CONVENTIONAL MODE OF OPERATION, assigns a POINT (usually a PARKING POINT) that may appear in the TIMING PATTERN of a VEHICLE JOURNEY to a PLACE such as a PARKING BAY that has VEHICLE CHARGING EQUIPMENT. The exact location of the EQUIPMENT within the bay can be given by an EQUIPMENT PLACE.
"
,Text,
RECHARGING BAY,Class,A PARKING BAY specifically equipped for recharging VEHICLEs.
RECHARGING STATION,Class,A PARKING with bays specifically equipped for recharging VEHICLEs.
,Text,
,Text,
,Text,
NAVIGATION PATH,Class,"A designated path between two SITES or SITE COMPONENTs.
"
,Note,Also alias as SITE PATH LINK
,Note,Also alias as SITE NAVIGATION PATH.
,Text,
,Text,
TP Common Section MODEL,Package,
TP Service Pattern MODEL,Package,
TP Time Demand Type MODEL,Package,
TP Stop Assignment MODEL,Package,
TP Service Connection MODEL,Package,
TP Timing Pattern MODEL,Package,
TP Routing Constraint MODEL,Package,
TP Passenger Information Display Assignment MODEL,Package,
TP Journey Pattern MODEL,Package,
TP Navigation Path Assignment MODEL,Package,
ProxyConnector,ProxyConnector,
ProxyConnector,ProxyConnector,
TYPE OF JOURNEY PATTERN,Class,A classification of JOURNEY PATTERNs used to distinguish categories of JOURNEY PATTERN other than SERVICE JOURNEY PATTERN and DEAD RUN PATTERN.
POINT IN JOURNEY PATTERN,Class,A SCHEDULED STOP POINT or TIMING POINT in a JOURNEY PATTERN with its order in that JOURNEY PATTERN.
,Constraint,exclusion
JOURNEY PATTERN,Class,"An ordered list of SCHEDULED STOP POINTs and TIMING POINTs on a single ROUTE, describing the pattern of working for public transport vehicles.
NOTE1: A JOURNEY PATTERN may pass through the same POINT more than once.
NOTE2: The first point of a JOURNEY PATTERN is the origin; the last point is the destination."
DEAD RUN PATTERN,Class,A JOURNEY PATTERN to be used for DEAD RUNs.
,Text,
TIMING POINT IN JOURNEY PATTERN,Class,A POINT in a JOURNEY PATTERN which is a TIMING POINT.
,Text,
,Text,
TIMING LINK IN JOURNEY PATTERN,Class,"The position of a TIMING LINK in a JOURNEY PATTERN.
NOTE: This entity is needed if a TIMING LINK is repeated in the same JOURNEY PATTERN, and separate information is to be stored about each iteration of the TIMING LINK."
,Text,
,Text,
,Text,
TIMING POINT,Class,A POINT against which the timing information necessary to build schedules may be recorded.
GROUP OF TIMING LINKS,Class,"A set of TIMING LINKs grouped together according to the similarity of TIME BANDs which are relevant to them.
NOTE: There may be a GROUP OF TIMING LINKS which covers all TIMING LINKs, for use when different GROUPs OF TIMING LINKS are not needed."
TIMING LINK,Class,An ordered pair of TIMING POINTs for which run times may be recorded.
TIMING PATTERN,Class,The subset of a JOURNEY PATTERN made up only of TIMING POINTs IN JOURNEY PATTERN.
,Text,
,Text,
DEFAULT CONNECTION,Class,"The physical (spatial) possibility for a passenger to change from one public transport vehicle to another to continue the trip. 
NOTE1: It specifies default times to be used to change from one mode of transport to another at an area or national level as specified by a TOPOGRAPHIC PLACE, STOP AREA or SITE ELEMENT. 
NOTE2: It may be further restricted to a specific MODE or OPERATOR or only apply in a particular direction of transfer, e.g., bus to rail may have a different time for rail to bus. "
DEFAULT CONNECTION END,Class,One end of a DEFAULT CONNECTION.
,Text,
SITE CONNECTION END,Class,One end of a SITE CONNECTION.
SITE CONNECTION,Class,"The physical (spatial) possibility for a passenger to change from one public transport vehicle to another to continue the trip, determined by physical locations, such as SITEs and/or its components and/or ENTRANCEs, in particular STOP PLACEs and/or its components.
NOTE: Different times may be necessary to cover the resulting distance, depending on the kind of passenger."
,Text,
CONNECTION END,Class,One end of a CONNECTION.
SERVICE LINK,Class,A LINK between an ordered pair of SCHEDULED STOP POINTs.
SERVICE PATTERN,Class,The subset of a JOURNEY PATTERN made up only of STOP POINTs IN JOURNEY PATTERN.
SERVICE JOURNEY PATTERN,Class,The JOURNEY PATTERN for a (passenger carrying) SERVICE JOURNEY.
SCHEDULED STOP POINT,Class,A POINT where passengers can board or alight from vehicles.
CONNECTION,Class,"The physical (spatial) possibility for a passenger to change from one public transport vehicle to another to continue the trip, determined by a pair of points which may be either SCHEDULED STOP POINTs or VEHICLE MEETING POINTs.
NOTE: Different times may be necessary to cover the link between these points, depending on the kind of passenger. "
,Text,
STOP AREA,Class,A group of SCHEDULED STOP POINTs close to each other.
TYPE OF STOP POINT,Class,"A classification of SCHEDULED STOP POINTs, used for instance to characterise the equipment to be installed at stops (post, shelter, seats, etc.)."
STOP POINT IN JOURNEY PATTERN,Class,A POINT in a JOURNEY PATTERN which is a SCHEDULED STOP POINT.
,Text,
,Note,"Renamed from TRAIN STOP ASSIGNMENT to PASSENGER BOARDING POSITION ASSIGNMENT.
"
,Text,
,Text,
COMMON SECTION,Class,"A part of a public transport network where the ROUTEs of several JOURNEY PATTERNs are going in parallel and where the synchronisation of SERVICE JOURNEYs may be planned and controlled with respect to commonly used LINKs and SCHEDULED STOP POINTs.
NOTE: COMMON SECTIONs are defined arbitrarily and need not cover the total lengths of topologically bundled sections."
,Text,
ROUTING CONSTRAINT ZONE,Class,"A ZONE specifying constraints on activity when a journey is routed through it.
NOTE: Examples of routing constraints are ""If you board in this ZONE, you can't alight in the same ZONE""; ""If you board in this ZONE, you can alight only if the journey has passed through at least one STOP outside of the ZONE""; ""Journey will go on only if there are passenger on board"", etc.
"
TRANSFER RESTRICTION,Class,"A constraint that can be applied on a CONNECTION or INTERCHANGE between two SCHEDULED STOP POINT, preventing or forbidding the passenger to use it."
,Text,
SERVICE EXCLUSION,Class,"A constraint on the use of a service; the service, on this specific JOURNEY PATTERN (usually a FTS JOURNEY PATTERN) cannot operate when another (regular) service operates.
NOTE: This may occur only on subpart of the JOURNEY PATTERN, or only on one or some specific SCHEDULED STOP POINTS within the pattern."
,Text,
TYPE OF TRANSFER RESTRICTION,Class,"Classification of TRANSFER RESTRICTION, for example, allowed, allowed at certain times, etc."
ALLOWED ZONE USE,Class,"Classification of allowed behaviour in zone, for example; cannot board in zone, must board in zone, cannot board and alight in same zone, etc. "
TIME DEMAND TYPE,Class,"An indicator of traffic conditions or other factors which may affect vehicle run or wait times.
NOTE: It may be entered directly by the scheduler or defined by the use of TIME BANDs."
TIME DEMAND TYPE ASSIGNMENT,Class,The assignment of a TIME DEMAND TYPE to a TIME BAND depending on the DAY TYPE and GROUP OF TIMING LINKS.
,Text,
,Text,
STOP ASSIGNMENT,Class,"The allocation of a SCHEDULED STOP POINT to a specific STOP PLACE, and also possibly a QUAY."
,Text,
PASSENGER STOP ASSIGNMENT,Class,"The default allocation of a SCHEDULED STOP POINT to a specific STOP PLACE, and also possibly a QUAY."
PASSENGER BOARDING POSITION ASSIGNMENT,Class,"The association of a SCHEDULED STOP POINT with a specific STOP PLACE and also possibly a QUAY and BOARDING POSITION; may be general for all types of vehicle at that stop, or specific to a VEHICLE TYPE such as a TRAIN, in which case a TRAIN COMPONENT may also be specified to indicate a specific carriage. "
,Text,
,Note,"In the basic case, e.g., for buses and simple VEHICLE TYPES a STOP ASSIGNMENT for an individual BOARDING POSITION may apply regardless of VEHICLE TYPE.

In VEHICLE TYPES such as trains, a STOP ASSIGNMENT for an individual BOARDING POSITION may be specific to the VEHICLE TYPE (i.e. TRAIN type) and TRAIN COMPONENT, so that boarding positions may be related to individual carriages. 

NOTE: A VEHICLE JOURNEY STOP ASSIGNMENT (See Part 3) can be used to make an assignment for a specific VEHICLE JOURNEY or DATED VEHICLE JOURNEY. A DECK ENTRANCE ASSIGNMENT can further relate the doors of specific carriages of the train to specific boarding position. "
NAVIGATION PATH ASSIGNMENT,Class,"The allocation of a NAVIGATION PATH to a specific STOP POINT ASSIGNMENT, for example to indicate the path to be taken to make a CONNECTION."
,Text,
PASSENGER INFORMATION EQUIPMENT,Class,"A public transport information piece of equipment, as for instance terminals (on street, at information desks, telematic, etc.) or printed material (leaflets displayed at stops, booklets, etc.)."
LOGICAL DISPLAY,Class,"A set of data that can be assembled for assignment to a physical PASSENGER INFORMATION EQUIPMENT or to a logical channel such as web or media; it is independent of any physical embodiment. 
NOTE: A LOGICAL DISPLAY may have a set of DISPLAY ASSIGNMENTS each of which associates a JOURNEY PATTERN whose journeys are to be shown at the LOGICAL DISPLAY, usually in the context of a specific SCHEDULED STOP POINT. "
TYPE OF PASSENGER INFORMATION EQUIPMENT,Class,"A classification for PASSENGER INFORMATION EQUIPMENT (e.g., next stop indicator, stop announcements, passenger information facility)."
DISPLAY ASSIGNMENT,Class,"The assignment of one SCHEDULED STOP POINT and one JOURNEY PATTERN to a PASSENGER INFORMATION EQUIPMENT specifying that information on the SCHEDULED STOP POINT and the JOURNEY PATTERN will be provided (e.g., displayed, printed)."
,Text,
,Text,
TP Service Frame MODEL,Package,
FO Site Frame MODEL,Package,
ND Infrastructure Frame MODEL,Package,
INFRASTRUCTURE FRAME,Class,A set of infrastructure network data (and other data logically related to these) to which the same VALIDITY CONDITIONs have been assigned.
,Text,
,Text,
SERVICE FRAME,Class,A set of network service data (and other data logically related to these) to which the same VALIDITY CONDITIONs has been assigned.
SITE FRAME,Class,A set of SITE data to which the same VALIDITY CONDITIONs have been assigned.
,Text,
MA Facility Monitoring & Availability MODELs,Package,
MS Messaging MODELs,Package,
EI Operational Event & Incident MODELs,Package,
DP Dated Production Components MODELs,Package,
CA Control Action MODELs,Package,
DM Detecting & Monitoring MODELs,Package,
OC Call MODELs,Package,
PP Production Plan MODELs,Package,
SI Situation MODELs,Package,
OM Dated Call MODEL,Package,
OY Occupancy MODELs,Package,
,Text,
,Text,
OM Vehicle Work Production Components MODEL,Package,
OM Dated Vehicle Service MODEL,Package,
,Text,
,Text,
DATED SPECIAL SERVICE,Class,"A SPECIAL SERVICE taking place on a particular OPERATING DAY.
NOTE: It may derive from a planned SPECIAL SERVICE, or be only occasional."
EXTRA DATED VEHICLE JOURNEY,Class,A DATED VEHICLE JOURNEY added to the PRODUCTION PLAN in addition to the long term planned NORMAL DATED VEHICLE JOURNEYs.
,Constraint,"exclusion
"
,Text,
DATED VEHICLE SERVICE,Class,A VEHICLE SERVICE taking place on a particular OPERATING DAY.
DATED VEHICLE SERVICE PART,Class,A VEHICLE SERVICE PART taking place on a particular OPERATING DAY.
CALL,Class,A view that brings together data relating to the individual visit to a POINT IN JOURNEY PATTERN in a VEHICLE JOURNEY or DATED VEHICLE JOURNEY.
,Text,
OC Call MODEL,Package,
ARRIVAL,Class,A view that brings together data relating to the arrival to a POINT IN JOURNEY PATTERN in a VEHICLE JOURNEY or DATED VEHICLE JOURNEY.
CALL PART,Class,A view that brings together data relating to the arrival to or the departure from a POINT IN JOURNEY PATTERN in a VEHICLE JOURNEY or DATED VEHICLE JOURNEY.
